GEOID,nJobs
421010073004012,1
421010073004001,1
421010073004004,23
421010073004011,2
421010080002002,14
421010080002005,5
421010080002006,4
421010080003003,2
421010080003004,4
421010080001004,17
421010080001005,4
421010080002001,3
421010080004000,49
421010080004003,11
421010080004004,1
421010080004007,10
421010080004008,11
421010080004009,9
421010080004010,4
421010085004000,4
421010085004005,3
421010085005000,1
421010085005005,8
421010085005006,10
421010085006007,10
421010085002002,44
421010085003001,5
421010085003002,7
421010085003003,2
421010085003005,9
421010085003006,1
421010085001000,10
421010085001001,15
421010085001002,14
421010085001003,20
421010085001004,1
421010085001005,4
421010085001006,156
421010085002000,4
421010085002001,18
421010085002003,5
421010085006000,23
421010085007000,51
421010085007011,54
421010085007012,36
421010093002001,2
421010093002002,3
421010093002004,2
421010093003002,1
421010093003003,2
421010093003004,1
421010093003005,26
421010093003006,25
421010093004000,16
421010093004006,30
421010093004007,14
421010093001001,4
421010093001003,6
421010093001005,1
421010093005000,6
421010093005001,1
421010073002004,2
421010073001003,1
421010073001004,4
421010073002000,2
421010073002002,1
421010073002003,4
421010073003003,5
421010073003004,3
421010073004013,1
421010073003002,1
421010073003005,3
421010073004008,1
421010078003000,42
421010078003003,7
421010078004002,74
421010079003004,26
421010079003005,6
421010079003006,38
421010073004000,18
421010073004010,3
421010079003001,2
421010079003002,7
421010079003003,2
421010079004002,2
421010079004005,7
421010080001003,4
421010080001006,5
421010080002000,1
421010079004000,3
421010086011002,8
421010086011003,5
421010086011004,3
421010086011006,6
421010086011007,57
421010086022002,1
421010086022003,2
421010086023004,3
421010085003004,2
421010079004001,3
421010080001000,2
421010086021003,73
421010086021008,13
421010086021009,16
421010086022001,3
421010086023000,74
421010086023001,5
421010086023002,3
421010104004006,2
421010093002000,1
421010104004005,401
421010093001000,2
421010074004004,1
421010074004005,10
421010074004006,5
421010074004007,2
421010074004009,2
421010074004010,1
421010074005003,1
421010073001001,5
421010073001002,2
421010073001005,5
421010073002005,1
421010074004002,3
421010078002005,8
421010078001006,4
421010078002001,18
421010078002002,18
421010078004000,56
421010078004004,1
421010078004007,1
421010079001003,3
421010079002001,11
421010079002002,10
421010079002004,1
421010079002005,9
421010079002006,13
421010078005001,12
421010078005002,89
421010079001000,2
421010079001001,1
421010079001002,5
421010086011000,66
421010086011008,53
421010086012004,34
421010086012005,17
421010086012006,3
421010086012000,52
421010086012001,17
421010086012002,7
421010086021000,141
421010086021004,100
421010086021005,1
421010086021006,77
421010086021010,3
421010086021011,7
421010086021012,3
421010086021013,1
421010086021014,20
421010086022005,24
421010105003013,118
421010092001001,105
421010105003006,313
421010106001010,1
421010105003009,10
421010074003005,1
421010074003007,10
421010074004011,50
421010074004012,8
421010074005000,4
421010074005001,49
421010074005002,6
421010074002000,29
421010074002002,7
421010074002005,50
421010074002006,14
421010074002013,3
421010074003000,1
421010074003002,5
421010077002004,2
421010078001000,5
421010078001003,30
421010074001000,2
421010074001001,6
421010078001004,180
421010078005003,27
421010077001003,136
421010077001007,1136
421010078005000,29
421010079002000,12
421010087011002,10
421010087011004,1
421010087011005,16
421010087011000,4
421010087011001,1
421010087022004,12
421010086012007,9
421010087013003,21
421010087013004,96
421010087013005,1
421010087021012,133
421010087022002,8
421010087012002,49
421010087012003,4
421010087012008,65
421010087012009,3
421010087013000,14
421010087013001,2
421010087013002,22
421010087021002,32
421010087021003,59
421010087021005,37
421010087021008,169
421010087021011,12
421010087012000,14
421010087012001,85
421010087021001,19
421010092001004,18
421010092001005,5
421010092002014,1
421010106001011,2
421010106002008,1
421010106002009,4
421010106002002,26
421010106002011,37
421010107002018,13
421010107002019,1
421010074002019,110
421010074001002,4
421010077002000,59
421010077002001,2344
421010077002002,1
421010074001003,8
421010077001000,20
421010077001001,67
421010077001002,50
421010077001005,20
421010077001006,3
421010087022006,24
421010087022005,56
421010087022000,1
421010087022001,1
421010088024000,30
421010088024001,55
421010087021004,35
421010087021007,47
421010087021009,60
421010087021010,5
421010088022002,227
421010088022005,100
421010088023001,314
421010088023002,209
421010087021000,38
421010088022001,583
421010092001010,83
421010092001011,27
421010091002011,2
421010091003009,5
421010091003012,3
421010092001006,68
421010092001007,3
421010092001008,13
421010092001009,4
421010092002008,1
421010092002010,1
421010092002018,3
421010091003002,1
421010091003007,38
421010091003008,2
421010092002000,2
421010092002004,9
421010092002007,1
421010092002012,1
421010106002014,50
421010108004004,49
421010108004005,16
421010108004009,4
421010107002024,30
421010108002005,2
421010108002010,1
421010108005000,4
421010108005001,1
421010108005004,2
421010108005006,3
421010033002028,258
421010033002061,10
421010369002008,5
421010088011004,158
421010088011005,60
421010088021000,2
421010088023004,162
421010088024002,21
421010088011000,39
421010088011001,23
421010088011002,30
421010088011003,5
421010088012002,72
421010088012003,90
421010088012004,16
421010088012005,3
421010088022003,183
421010088022004,115
421010088023000,418
421010088012000,448
421010088022000,6
